"","teacher","posterior","p","prior"
"38","Ricc",0.00465830196671515,0.373737373737374,0.205820993279369
"39","Ricc",0.00534542402678569,0.383838383838384,0.228920212001207
"40","Ricc",0.0061006502467168,0.393939393939394,0.25396322187902
"41","Ricc",0.00692537781942616,0.404040404040404,0.281028092544719
"42","Ricc",0.00782013301447703,0.414141414141414,0.310185049948438
"43","Ricc",0.00878444590947422,0.424242424242424,0.341494888623544
"44","Ricc",0.00981673227612465,0.434343434343434,0.375007343375984
"45","Ricc",0.0109141867488913,0.444444444444444,0.410759442312029
"46","Ricc",0.0120726915769112,0.454545454545455,0.448773865706621
"47","Ricc",0.0132867453076875,0.464646464646465,0.4890573375405
"48","Ricc",0.0145494156569883,0.474747474747475,0.531599078516411
"49","Ricc",0.0158523205700562,0.484848484848485,0.576369350922129
"50","Ricc",0.0171856410659719,0.494949494949495,0.62331812676387
"51","Ricc",0.0185381688767547,0.505050505050505,0.672373911076882
"52","Ricc",0.0198973911487747,0.515151515151515,0.723442752168763
"53","Ricc",0.0212496135764443,0.525252525252525,0.776407469714557
"54","Ricc",0.0225801223042886,0.535353535353535,0.831127130064351
"55","Ricc",0.0238733837878586,0.545454545454546,0.887436795823138
"56","Ricc",0.0251132805779008,0.555555555555556,0.945147573716561
"57","Ricc",0.0262833797232183,0.565656565656566,1.00404698098147
"58","Ricc",0.0273672292183955,0.575757575757576,1.0638996460541
"59","Ricc",0.0283486766994216,0.585858585858586,1.12444835422921
"60","Ricc",0.029212203461795,0.595959595959596,1.18541544330887
"61","Ricc",0.0299432658907411,0.606060606060606,1.24650454814801
"62","Ricc",0.0305286355987674,0.616161616161616,1.30740268655166
"63","Ricc",0.0309567290050292,0.626262626262626,1.36778267231747
"64","Ricc",0.0312179168009939,0.636363636363636,1.42730583449203
"65","Ricc",0.0313048037567326,0.646464646464647,1.48562501527487
"66","Ricc",0.0312124696511063,0.656565656565657,1.54238781261995
"67","Ricc",0.0309386627651475,0.666666666666667,1.59724002761176
"68","Ricc",0.0304839383567472,0.676767676767677,1.64982927129089
"69","Ricc",0.0298517358191355,0.686868686868687,1.69980868092091
"70","Ricc",0.029048389785495,0.696969696969697,1.74684069186327
"71","Ricc",0.028083072234896,0.707070707070707,1.79060080837959
"72","Ricc",0.0269676646269159,0.717171717171717,1.83078131491128
"73","Ricc",0.0257165611805854,0.727272727272727,1.86709486876989
"74","Ricc",0.0243464065471371,0.737373737373737,1.89927791575498
"75","Ricc",0.0228757732301387,0.747474747474748,1.927093872019
"76","Ricc",0.0213247861039289,0.757575757575758,1.95033601850643
"77","Ricc",0.0197147031961271,0.767676767676768,1.968830058464
"78","Ricc",0.0180674634612097,0.777777777777778,1.98243629377544
"79","Ricc",0.0164052135162217,0.787878787878788,1.99105138211385
"80","Ricc",0.0147498261836142,0.797979797979798,1.99460964399663
"81","Ricc",0.0131224241499424,0.808080808080808,1.99308389661905
"82","Ricc",0.0115429220776511,0.818181818181818,1.98648579965871
"83","Ricc",0.0100296000916697,0.828282828282828,1.97486570689721
"84","Ricc",0.00859872071126048,0.838383838383838,1.95831202630055
"85","Ricc",0.00726420003569348,0.848484848484849,1.93695009993367
"86","Ricc",0.00603734236114678,0.858585858585859,1.91094062355974
"87","Ricc",0.00492664546166026,0.868686868686869,1.88047763379714
"88","Ricc",0.00393768157735862,0.878787878787879,1.84578609809849
"89","Ricc",0.00307305679656134,0.888888888888889,1.80711914941372
"90","Ricc",0.002332449079417,0.898989898989899,1.76475501306292
"91","Ricc",0.00171272273702937,0.909090909090909,1.71899367795972
"92","Ricc",0.00120811483886045,0.919191919191919,1.67015336780563
"93","Ricc",0.000810486855619623,0.929292929292929,1.61856687016356
"94","Ricc",0.000509632930557393,0.939393939393939,1.5645777823896
"95","Ricc",0.000293634574314027,0.94949494949495,1.50853673326131
"96","Ricc",0.000149250349480167,0.95959595959596,1.45079763782514
"97","Ricc",6.2328288143096e-05,0.96969696969697,1.39171404055856
"98","Ricc",1.82283900691863e-05,0.97979797979798,1.33163559849518
"99","Ricc",2.24258523047595e-06,0.98989898989899,1.27090475160574
"100","Ricc",0,1,1.20985362259572
"101","Kris",0,0,0.000669151128824427
"102","Kris",1.71650433701564e-09,0.0101010101010101,0.000817912006377329
"103","Kris",8.37104128459304e-09,0.0202020202020202,0.000997197476420733
"104","Kris",2.29049215300426e-08,0.0303030303030303,0.00121268492019622
"105","Kris",4.93929888459524e-08,0.0404040404040404,0.00147098079425061
"106","Kris",9.33762819123814e-08,0.0505050505050505,0.00177974690631534
"107","Kris",1.62271605242206e-07,0.0606060606060606,0.00214783893054545
